time	V(n002)	V(n003)
7.322744378995882e-05	1.101405e+01	-8.489163e-03
7.342275628995883e-05	1.060409e+01	-8.797283e-03
7.361806878995884e-05	1.014643e+01	-9.072294e-03
7.381338128995884e-05	9.645182e+00	-9.313158e-03
7.400869378995885e-05	9.103594e+00	-9.518970e-03
7.420400628995885e-05	8.524659e+00	-9.688954e-03
7.439931878995886e-05	7.911275e+00	-9.822471e-03
7.459463128995886e-05	7.266323e+00	-9.919019e-03
7.498525628995887e-05	5.893206e+00	-9.999893e-03
7.537588128995889e-05	4.428352e+00	-9.930359e-03
7.576650628995890e-05	2.894848e+00	-9.711463e-03
7.615713128995891e-05	1.315737e+00	-9.346498e-03
7.635244378995891e-05	5.162618e-01	-9.110871e-03
7.674306878995892e-05	-1.088177e+00	-8.537759e-03
7.713369378995894e-05	-2.680773e+00	-7.836231e-03
7.752431878995895e-05	-4.238428e+00	-7.016839e-03
7.791494378995896e-05	-5.737853e+00	-6.091908e-03
7.830556878995897e-05	-7.155528e+00	-5.075348e-03
7.850088128995898e-05	-7.826289e+00	-4.537438e-03
7.869619378995898e-05	-8.467669e+00	-3.982450e-03
7.889150628995899e-05	-9.076630e+00	-3.412473e-03
7.908681878995899e-05	-9.650042e+00	-2.829653e-03
7.928213128995900e-05	-1.018456e+01	-2.236182e-03
7.947744378995900e-05	-1.067624e+01	-1.634295e-03
7.967275628995901e-05	-1.111916e+01	-1.026256e-03
7.986806878995901e-05	-1.149801e+01	-4.143555e-04
8.006338128995902e-05	-1.178660e+01	1.991050e-04
8.018820116435926e-05	-1.189314e+01	5.909070e-04
8.031424969613212e-05	-1.193792e+01	9.856416e-04
8.036955815677147e-05	-1.194631e+01	1.158395e-03
8.045084383034416e-05	-1.195238e+01	1.411637e-03
8.054722952132133e-05	-1.195680e+01	1.710716e-03
8.068113037150750e-05	-1.196037e+01	2.123541e-03
8.085063409762037e-05	-1.196293e+01	2.640652e-03
8.104594659762038e-05	-1.196450e+01	3.227124e-03
8.124125909762038e-05	-1.196519e+01	3.801450e-03
8.143657159762039e-05	-1.196526e+01	4.361468e-03
8.163188409762039e-05	-1.196476e+01	4.905071e-03
8.182719659762040e-05	-1.196350e+01	5.430211e-03
8.202250909762041e-05	-1.196091e+01	5.934914e-03
8.221782159762041e-05	-1.195503e+01	6.417280e-03
8.241313409762042e-05	-1.194005e+01	6.875491e-03
8.255266225560390e-05	-1.190941e+01	7.187081e-03
8.266034124188581e-05	-1.184859e+01	7.418137e-03
8.277567803060183e-05	-1.172584e+01	7.656203e-03
8.291021752973727e-05	-1.151771e+01	7.921183e-03
8.310553002973727e-05	-1.114352e+01	8.280559e-03
8.330084252973728e-05	-1.071342e+01	8.608768e-03
8.349615502973729e-05	-1.023328e+01	8.904574e-03
8.369146752973729e-05	-9.708902e+00	9.166867e-03
8.388678002973730e-05	-9.144126e+00	9.394658e-03
8.408209252973730e-05	-8.542223e+00	9.587090e-03
8.427740502973731e-05	-7.906270e+00	9.743437e-03
8.447271752973731e-05	-7.239265e+00	9.863113e-03
8.486334252973733e-05	-5.823988e+00	9.990785e-03
8.525396752973734e-05	-4.320027e+00	9.968188e-03
8.564459252973735e-05	-2.750877e+00	9.795659e-03
8.603521752973736e-05	-1.139886e+00	9.475795e-03
8.623053002973736e-05	-3.259606e-01	9.262030e-03
8.662115502973738e-05	1.304264e+00	8.730856e-03
8.701178002973739e-05	2.918318e+00	8.068362e-03
8.740240502973740e-05	4.492890e+00	7.284512e-03
8.779303002973741e-05	6.004458e+00	6.391096e-03
8.818365502973742e-05	7.429235e+00	5.401553e-03
8.837896752973743e-05	8.101555e+00	4.875334e-03
8.857428002973743e-05	8.743092e+00	4.330765e-03
8.876959252973744e-05	9.350711e+00	3.769896e-03
8.896490502973744e-05	9.921109e+00	3.194838e-03
8.916021752973745e-05	1.045056e+01	2.607755e-03
8.935553002973745e-05	1.093399e+01	2.010858e-03
8.955084252973746e-05	1.136035e+01	1.406392e-03
8.974615502973746e-05	1.170860e+01	7.966325e-04
8.987405779737183e-05	1.185771e+01	3.955559e-04
9.000063791094487e-05	1.192916e+01	-2.004056e-06
9.005538285213813e-05	1.194229e+01	-1.739816e-04
9.012671440860318e-05	1.195000e+01	-3.979799e-04
9.020133743284404e-05	1.195490e+01	-6.320985e-04
9.031476362453837e-05	1.195930e+01	-9.872483e-04
9.044408325828925e-05	1.196225e+01	-1.390607e-03
9.063348641226173e-05	1.196464e+01	-1.977045e-03
9.082879891226174e-05	1.196598e+01	-2.574428e-03
9.102411141226174e-05	1.196661e+01	-3.162121e-03
9.121942391226175e-05	1.196676e+01	-3.737913e-03
9.141473641226175e-05	1.196649e+01	-4.299637e-03
9.161004891226176e-05	1.196573e+01	-4.845177e-03
9.180536141226176e-05	1.196423e+01	-5.372482e-03
9.200067391226177e-05	1.196124e+01	-5.879565e-03
9.219598641226178e-05	1.195400e+01	-6.364519e-03
9.239129891226178e-05	1.193352e+01	-6.825519e-03
9.252487431926375e-05	1.189095e+01	-7.126108e-03
9.263027508446760e-05	1.181044e+01	-7.354464e-03
9.273975603947993e-05	1.166374e+01	-7.583119e-03
9.292680561296447e-05	1.132658e+01	-7.952884e-03
9.310221017441580e-05	1.095360e+01	-8.274707e-03
9.329752267441580e-05	1.048473e+01	-8.603455e-03
9.349283517441581e-05	9.970531e+00	-8.899824e-03
9.368814767441582e-05	9.414362e+00	-9.162695e-03
9.388346017441582e-05	8.819839e+00	-9.391080e-03
9.407877267441583e-05	8.190184e+00	-9.584119e-03
9.427408517441583e-05	7.528477e+00	-9.741085e-03
9.446939767441584e-05	6.837743e+00	-9.861387e-03
9.486002267441585e-05	5.381137e+00	-9.990333e-03
9.525064767441586e-05	3.844115e+00	-9.969014e-03
9.564127267441587e-05	2.250232e+00	-9.797751e-03
9.603189767441588e-05	6.228557e-01	-9.479121e-03
9.642252267441589e-05	-1.014774e+00	-9.017917e-03
9.681314767441590e-05	-2.639447e+00	-8.421076e-03
9.720377267441592e-05	-4.227865e+00	-7.697572e-03
9.759439767441593e-05	-5.756547e+00	-6.858291e-03
9.798502267441594e-05	-7.201759e+00	-5.915854e-03
9.818033517441594e-05	-7.885564e+00	-5.410327e-03
9.837564767441595e-05	-8.539452e+00	-4.884437e-03
9.857096017441596e-05	-9.160316e+00	-4.340163e-03
9.876627267441596e-05	-9.744923e+00	-3.779554e-03
9.896158517441597e-05	-1.028972e+01	-3.204719e-03
9.915689767441597e-05	-1.079023e+01	-2.617823e-03
9.935221017441598e-05	-1.123828e+01	-2.021073e-03
9.954752267441598e-05	-1.161319e+01	-1.416717e-03
9.971209418326482e-05	-1.183902e+01	-9.032501e-04
9.981603533472849e-05	-1.191594e+01	-5.776203e-04
9.988739743761609e-05	-1.193794e+01	-3.536776e-04
9.994820768146657e-05	-1.194679e+01	-1.627032e-04
1.000199806466114e-04	-1.195277e+01	6.277064e-05
1.001148998981577e-04	-1.195753e+01	3.608903e-04
1.002322022387552e-04	-1.196100e+01	7.288380e-04
1.003936546697094e-04	-1.196371e+01	1.233553e-03
1.005889671697094e-04	-1.196554e+01	1.839755e-03
1.007842796697094e-04	-1.196649e+01	2.439033e-03
1.009795921697094e-04	-1.196687e+01	3.029132e-03
1.011749046697094e-04	-1.196683e+01	3.607829e-03
1.013702171697094e-04	-1.196638e+01	4.172947e-03
1.015655296697094e-04	-1.196538e+01	4.722359e-03
1.017608421697094e-04	-1.196344e+01	5.253998e-03
1.019561546697095e-04	-1.195941e+01	5.765861e-03
1.021514671697095e-04	-1.194816e+01	6.256023e-03
1.023467796697095e-04	-1.191444e+01	6.722639e-03
1.024592814838673e-04	-1.185433e+01	6.980038e-03
1.025849572917814e-04	-1.171760e+01	7.257255e-03
1.027035974333258e-04	-1.152630e+01	7.508580e-03
1.028989099333258e-04	-1.113533e+01	7.899451e-03
1.030942224333258e-04	-1.068959e+01	8.260590e-03
1.032895349333258e-04	-1.019414e+01	8.590638e-03
1.034848474333258e-04	-9.655134e+00	8.888353e-03
1.036801599333258e-04	-9.076540e+00	9.152615e-03
1.038754724333258e-04	-8.461702e+00	9.382427e-03
1.040707849333259e-04	-7.813745e+00	9.576926e-03
1.042660974333259e-04	-7.135711e+00	9.735380e-03
1.046567224333259e-04	-5.701373e+00	9.941905e-03
1.050473474333259e-04	-4.182437e+00	9.998893e-03
1.054379724333259e-04	-2.602439e+00	9.905490e-03
1.058285974333259e-04	-9.847121e-01	9.663098e-03
1.062192224333259e-04	6.475653e-01	9.275365e-03
1.066098474333259e-04	2.271277e+00	8.748121e-03
1.070004724333259e-04	3.863261e+00	8.089297e-03
1.073910974333259e-04	5.400207e+00	7.308803e-03
1.077817224333260e-04	6.858598e+00	6.418378e-03
1.079770349333260e-04	7.550919e+00	5.936067e-03
1.081723474333260e-04	8.214663e+00	5.431414e-03
1.083676599333260e-04	8.846800e+00	4.906319e-03
1.085629724333260e-04	9.444222e+00	4.362757e-03
1.087582849333260e-04	1.000365e+01	3.802775e-03
1.089535974333260e-04	1.052133e+01	3.228480e-03
1.091489099333260e-04	1.099202e+01	2.642034e-03
1.093442224333260e-04	1.140369e+01	2.045643e-03
1.095395349333260e-04	1.173030e+01	1.441554e-03
1.096803776728607e-04	1.187483e+01	1.002437e-03
1.098188985693371e-04	1.193698e+01	5.686400e-04
1.098720186842834e-04	1.194635e+01	4.019568e-04
1.099506229595166e-04	1.195264e+01	1.551163e-04
1.100364816010844e-04	1.195690e+01	-1.146078e-04
1.101681463662282e-04	1.196070e+01	-5.280018e-04
1.103245959576410e-04	1.196331e+01	-1.017982e-03
1.105199084576410e-04	1.196508e+01	-1.626088e-03
1.107152209576410e-04	1.196598e+01	-2.228074e-03
1.109105334576410e-04	1.196629e+01	-2.821674e-03
1.111058459576410e-04	1.196613e+01	-3.404653e-03
1.113011584576410e-04	1.196546e+01	-3.974819e-03
1.114964709576410e-04	1.196408e+01	-4.530024e-03
1.116917834576410e-04	1.196133e+01	-5.068179e-03
1.118870959576411e-04	1.195490e+01	-5.587258e-03
1.120824084576411e-04	1.193665e+01	-6.085309e-03
1.122322815311112e-04	1.189427e+01	-6.452053e-03
1.123412221619001e-04	1.181727e+01	-6.709703e-03
1.124554265821590e-04	1.167229e+01	-6.971361e-03
1.126235474623712e-04	1.138095e+01	-7.340127e-03
1.128096174500524e-04	1.099712e+01	-7.724356e-03
1.130049299500524e-04	1.054105e+01	-8.099264e-03
1.132002424500524e-04	1.003874e+01	-8.443687e-03
1.133955549500524e-04	9.494432e+00	-8.756331e-03
1.135908674500525e-04	8.911756e+00	-9.036018e-03
1.137861799500525e-04	8.293916e+00	-9.281695e-03
1.139814924500525e-04	7.643969e+00	-9.492437e-03
1.141768049500525e-04	6.964912e+00	-9.667452e-03
1.145674299500525e-04	5.531302e+00	-9.907803e-03
1.149580549500525e-04	4.016613e+00	-9.999132e-03
1.153486799500525e-04	2.444175e+00	-9.940064e-03
1.157393049500525e-04	8.371300e-01	-9.731488e-03
1.159346174500525e-04	2.781971e-02	-9.572028e-03
1.163252424500525e-04	-1.588042e+00	-9.145764e-03
1.167158674500525e-04	-3.181106e+00	-8.581938e-03
1.171064924500526e-04	-4.728348e+00	-7.889032e-03
1.174971174500526e-04	-6.206593e+00	-7.077469e-03
1.176924299500526e-04	-6.912554e+00	-6.630939e-03
1.178877424500526e-04	-7.592498e+00	-6.159452e-03
1.180830549500526e-04	-8.243477e+00	-5.664783e-03
1.182783674500526e-04	-8.862524e+00	-5.148793e-03
1.184736799500526e-04	-9.446613e+00	-4.613424e-03
1.186689924500526e-04	-9.992578e+00	-4.060690e-03
1.188643049500526e-04	-1.049688e+01	-3.492674e-03
1.190596174500526e-04	-1.095485e+01	-2.911511e-03
1.192549299500526e-04	-1.135717e+01	-2.319391e-03
1.194502424500526e-04	-1.168180e+01	-1.718541e-03
1.196117226842398e-04	-1.185603e+01	-1.216786e-03
1.197562525592367e-04	-1.193064e+01	-7.650070e-04
1.198149688444535e-04	-1.194261e+01	-5.809652e-04
1.199032560437369e-04	-1.195055e+01	-3.038833e-04
1.199836048995714e-04	-1.195492e+01	-5.150650e-05
1.201224795667904e-04	-1.195924e+01	3.846860e-04
1.202681983958521e-04	-1.196187e+01	8.415735e-04
1.204635108958521e-04	-1.196373e+01	1.451022e-03
1.206588233958521e-04	-1.196462e+01	2.055009e-03
1.208541358958521e-04	-1.196480e+01	2.651261e-03
1.210494483958521e-04	-1.196436e+01	3.237535e-03
1.212447608958521e-04	-1.196314e+01	3.811623e-03
1.214400733958521e-04	-1.196058e+01	4.371365e-03
1.216353858958521e-04	-1.195482e+01	4.914654e-03
1.218306983958521e-04	-1.194027e+01	5.439446e-03
1.219748296424959e-04	-1.190957e+01	5.813696e-03
1.220872976061881e-04	-1.184792e+01	6.097490e-03
1.222048498989985e-04	-1.172590e+01	6.385972e-03
1.223429429374862e-04	-1.151706e+01	6.713711e-03
1.225382554374862e-04	-1.115101e+01	7.155537e-03
1.227335679374862e-04	-1.072986e+01	7.570432e-03
1.229288804374862e-04	-1.025962e+01	7.956834e-03
1.231241929374863e-04	-9.745934e+00	8.313287e-03
1.233195054374863e-04	-9.192597e+00	8.638452e-03
1.235148179374863e-04	-8.602843e+00	8.931103e-03
1.237101304374863e-04	-7.979702e+00	9.190139e-03
1.239054429374863e-04	-7.326131e+00	9.414586e-03
1.242960679374863e-04	-5.939402e+00	9.756465e-03
1.246866929374863e-04	-4.465912e+00	9.951598e-03
1.250773179374863e-04	-2.928756e+00	9.997050e-03
1.254679429374863e-04	-1.350860e+00	9.892137e-03
1.258585679374863e-04	2.450052e-01	9.638436e-03
1.262491929374863e-04	1.836163e+00	9.239765e-03
1.266398179374864e-04	3.399950e+00	8.702120e-03
1.270304429374864e-04	4.913639e+00	8.033586e-03
1.274210679374864e-04	6.354405e+00	7.244219e-03
1.276163804374864e-04	7.040287e+00	6.807867e-03
1.278116929374864e-04	7.699347e+00	6.345893e-03
1.280070054374864e-04	8.328714e+00	5.860033e-03
1.282023179374864e-04	8.925515e+00	5.352118e-03
1.283976304374864e-04	9.486840e+00	4.824059e-03
1.285929429374864e-04	1.000968e+01	4.277843e-03
1.287882554374864e-04	1.049077e+01	3.715526e-03
1.289835679374864e-04	1.092603e+01	3.139225e-03
1.291788804374864e-04	1.130859e+01	2.551108e-03
1.293741929374864e-04	1.162001e+01	1.953390e-03
1.295695054374864e-04	1.183471e+01	1.348319e-03
1.297115608066459e-04	1.191736e+01	9.049188e-04
1.297902877546876e-04	1.193632e+01	6.583539e-04
1.298699387614924e-04	1.194511e+01	4.084857e-04
1.299605701002880e-04	1.195091e+01	1.238695e-04
1.300838756646062e-04	1.195552e+01	-2.634727e-04
1.302360275107067e-04	1.195871e+01	-7.408230e-04
1.304313400107067e-04	1.196076e+01	-1.350951e-03
1.306266525107067e-04	1.196147e+01	-1.955995e-03
1.308219650107067e-04	1.196113e+01	-2.553676e-03
1.310172775107067e-04	1.195962e+01	-3.141746e-03
1.312125900107067e-04	1.195605e+01	-3.717992e-03
1.314079025107067e-04	1.194706e+01	-4.280244e-03
1.316032150107067e-04	1.192301e+01	-4.826385e-03
1.317363609689822e-04	1.187724e+01	-5.188404e-03
1.318627049734870e-04	1.178376e+01	-5.523545e-03
1.319914666089061e-04	1.162798e+01	-5.856143e-03
1.321867791089061e-04	1.131439e+01	-6.342182e-03
1.323820916089062e-04	1.094183e+01	-6.804350e-03
1.325774041089062e-04	1.051732e+01	-7.240909e-03
1.327727166089062e-04	1.004748e+01	-7.650214e-03
1.329680291089062e-04	9.536324e+00	-8.030726e-03
1.331633416089062e-04	8.987102e+00	-8.381012e-03
1.333586541089062e-04	8.402801e+00	-8.699753e-03
1.335539666089062e-04	7.786317e+00	-8.985751e-03
1.337492791089062e-04	7.140519e+00	-9.237928e-03
1.341399041089062e-04	5.772371e+00	-9.637157e-03
1.345305291089062e-04	4.321106e+00	-9.891433e-03
1.349211541089062e-04	2.809393e+00	-9.996932e-03
1.353117791089062e-04	1.259760e+00	-9.952069e-03
1.355070916089062e-04	4.777258e-01	-9.873373e-03
1.357024041089062e-04	-3.053993e-01	-9.757517e-03
1.360930291089063e-04	-1.863786e+00	-9.416203e-03
1.364836541089063e-04	-3.393136e+00	-8.933261e-03
1.368742791089063e-04	-4.871169e+00	-8.315954e-03
1.372649041089063e-04	-6.275583e+00	-7.573567e-03
1.374602166089063e-04	-6.943223e+00	-7.158890e-03
1.376555291089063e-04	-7.584120e+00	-6.717267e-03
1.378508416089063e-04	-8.195516e+00	-6.250363e-03
1.380461541089063e-04	-8.774667e+00	-5.759933e-03
1.382414666089063e-04	-9.318842e+00	-5.247825e-03
1.384367791089063e-04	-9.825295e+00	-4.715965e-03
1.386320916089063e-04	-1.029119e+01	-4.166354e-03
1.388274041089063e-04	-1.071344e+01	-3.601063e-03
1.390227166089063e-04	-1.108819e+01	-3.022218e-03
1.392180291089063e-04	-1.140914e+01	-2.431998e-03
1.394133416089064e-04	-1.166264e+01	-1.832625e-03
1.396086541089064e-04	-1.182927e+01	-1.226354e-03
1.398039666089064e-04	-1.191557e+01	-6.154678e-04
1.398914336180774e-04	-1.193231e+01	-3.410052e-04
1.399961200122236e-04	-1.194101e+01	-1.218934e-05
1.401106639305146e-04	-1.194633e+01	3.475909e-04
1.402818121798378e-04	-1.195021e+01	8.841829e-04
1.404737147108049e-04	-1.195158e+01	1.482731e-03
1.406690272108049e-04	-1.195019e+01	2.086370e-03
1.408643397108049e-04	-1.194477e+01	2.682156e-03
1.410596522108049e-04	-1.192929e+01	3.267848e-03
1.412549647108049e-04	-1.188745e+01	3.841239e-03
1.414070361484401e-04	-1.181011e+01	4.277783e-03
1.415652882260150e-04	-1.166427e+01	4.721691e-03
1.417606007260150e-04	-1.140943e+01	5.253352e-03
1.419559132260150e-04	-1.109347e+01	5.765241e-03
1.421512257260150e-04	-1.072479e+01	6.255431e-03
1.423465382260150e-04	-1.030956e+01	6.722077e-03
1.425418507260150e-04	-9.851648e+00	7.163423e-03
